vhvl-nterminal+cd20	vhvl-nterminal+cd20
30,9559467867948	-148,640867859125
20,8616988896392	-131,968410879374
17,4931303518824	-140,873395994306
8,36705946642906	-164,649083524942
37,6186087075621	-124,939907476306
52,7542516952381	-127,194176435471
55,607223007828	-113,06659398973
41,8121328055859	-116,533103346825
41,6517247799784	-144,742601647973
56,3748899875209	-123,532546192408
60,4996677888557	-121,174489527941
56,9878777996637	-121,813821792603
63,2323330822401	-150,89513681829
50,697591652628	-147,785657167435
66,1082198270597	-164,881567984819
53,172458333429	-159,326849997044
57,0394375221804	-152,36477072537
42,1329488568008	-146,976113066077
47,6211948757991	-147,611293822527
59,1934881517664	-134,376285642386
43,3417379069142	-116,213437214494
68,8924448429607	-96,3816824853421
38,1112905004993	-99,8274343013764
32,3652458689176	-118,600554436445
31,9756835210137	-123,113243862987
11,8444763072766	-119,891673490405
-17,5961252497509	-128,676264867187
-0,369449071120471	-126,762419581413
13,626151163131	-131,437017828226
17,9686255706474	-142,077333375812
12,2283097971231	-159,131729111075
20,621086851228	-136,348252043128
1,81897470680997	-129,452596902847
-2,17976821726188	-121,905154973269
11,7413568622433	-113,730835303664
19,8591487295926	-116,877678528428
15,081281109713	-152,950133383274
13,6891686017625	-141,633121997118
12,1309192101471	-139,162974610925
-7,38157133338973	-140,786214321852
37,4066409594379	-151,29368160665
14,2047658269294	-167,588351339102
7,10098183574155	-171,993101552129
13,150655944366	-155,889401197434
11,9132226039656	-142,824604853988
26,384318056982	-145,170206993818
43,5250613647513	-159,99524281919
27,5759205329232	-151,920559346676
41,4970456124283	-136,344100534916
23,3823964348994	-128,48529548943
36,5301256766543	-120,132460966706
31,7809023470618	-136,564130470157
40,4028337234631	-155,084008604288
47,5810928693973	-146,793446704745
21,2970921020024	-165,487688183785
59,4570156224072	-155,250068932772
47,059766786173	-141,512728258967
55,3436955371872	-128,028629586101
51,9235672769137	-117,957070663571
36,4040907993913	-114,752106323838
33,4078980353661	-121,323943823576
28,5956572671421	-132,487349405885
48,8070684936829	-106,893301278353
25,0093921232037	-132,533015996218
26,8769998499192	-133,724498853087
40,2653411300853	-135,430768728256
61,1584864654578	-116,769739314914
44,8025967115536	-114,216561764479
16,3874607468024	-144,588995844126
13,5516760083847	-136,784160405397
21,1023109280504	-128,551719620824
35,8713070000522	-118,268433779478
12,0621729134582	-126,604662269354
1,16015603020787	-122,581850811839
4,05322934919968	-123,113243862987
-0,701722838450223	-124,005818128586
3,95010990416631	-135,605132073164
-17,0862568826415	-128,82156765461
12,927230480127	-134,239285871387
19,4294843752869	-123,121546879411
22,4657791457139	-140,728093206883
39,394554705359	-125,272028133273
42,2246105857194	-116,948254168034
22,6548314616084	-114,403379634023
7,38169588055462	-120,593278378248
24,7458646525629	-100,234282106161
34,90312998835	-115,104984521866
26,9171018563211	-91,5451754182577
23,250632699579	-102,700277984142
12,6808895836584	-107,262785509229
35,1150977364741	-100,57055427134
14,2391389752738	-125,612451806664
14,227681259159	-117,832525417209
7,18691470660269	-116,865224003792
