@TYPE	VH+VL	VH	VL	CD20
@	R228E	R228E	R228E	R228E
4,3600001	0,1354617	0,1108991	0,1014455	0,1299129
4,4000001	0,1288024	0,1000276	0,1103893	0,1340526
4,4400001	0,1299354	0,1110156	0,1182929	0,1423345
4,48	0,1314024	0,1028494	0,1200867	0,1370216
4,52	0,1261811	0,1101728	0,106622	0,1203004
4,5600004	0,1258012	0,1079708	0,1046731	0,127707
4,6000004	0,1298359	0,1172974	0,1140608	0,1308197
4,6400003	0,1377013	0,1253425	0,0995704	0,1257539
4,6800003	0,1373563	0,1403983	0,103391	0,1169198
4,7200003	0,1355141	0,1240174	0,1182887	0,1030874
4,7600002	0,1253687	0,1271063	0,1137917	0,1259934
4,8000002	0,1463613	0,1334734	0,1083299	0,1122379
4,8400002	0,1332648	0,1281382	0,117634	0,1243375
4,8800001	0,1277037	0,120031	0,1113861	0,1234648
4,9200001	0,1380447	0,1250867	0,115057	0,1341365
4,96	0,1517555	0,1472412	0,124762	0,1305571
5	0,1277964	0,1111991	0,1192081	0,1215367
5,0400004	0,1501726	0,1490305	0,1157106	0,1215834
5,0800004	0,1254889	0,1183571	0,1063304	0,1394143
5,1200004	0,1327749	0,1341275	0,1019892	0,1305722
5,1600003	0,1255043	0,1234307	0,0924787	0,1305089
5,2000003	0,1428254	0,117156	0,1182441	0,1347081
5,2400002	0,1240704	0,1289094	0,1014131	0,1240887
5,2800002	0,1270881	0,131665	0,1056404	0,1330804
5,3200002	0,1193105	0,113032	0,0976428	0,1376315
5,3600001	0,1186799	0,1131676	0,1015919	0,1252901
5,4000001	0,119148	0,1101748	0,1163733	0,1267409
5,4400001	0,121781	0,115703	0,1018853	0,1251835
5,4800005	0,1192141	0,1273947	0,1003666	0,1356438
5,5200005	0,1320607	0,1297579	0,1148691	0,1231482
5,5600004	0,1191026	0,1093914	0,0961207	0,132371
5,6000004	0,1292065	0,1222206	0,1164112	0,1081733
5,6400003	0,1377586	0,1460821	0,1106839	0,1126542
5,6800003	0,1292813	0,1478471	0,091562	0,1066878
5,7200003	0,1435402	0,1579217	0,1101702	0,1009785
5,7600002	0,1319484	0,1451616	0,102075	0,1176702
5,8000002	0,1151603	0,1090812	0,1026981	0,1191285
5,8400002	0,1301865	0,1335988	0,10935	0,1214248
5,8800001	0,124514	0,1292236	0,1059456	0,1173401
5,9200001	0,1278654	0,125448	0,1085604	0,1325926
5,9600005	0,1483541	0,1322458	0,1188773	0,1404683
6,0000005	0,1306093	0,1249904	0,10827	0,1228303
6,0400004	0,1369052	0,1279119	0,1048494	0,1395534
6,0800004	0,1286323	0,1215497	0,1265338	0,1364864
6,1200004	0,1204029	0,1103246	0,110172	0,1297889
6,1600003	0,1203828	0,1182014	0,0920608	0,142593
6,2000003	0,1260562	0,120937	0,1126328	0,1461073
6,2400002	0,1124956	0,1213968	0,090522	0,1180383
6,2800002	0,1258499	0,1130658	0,1035492	0,1279406
6,3200002	0,1286801	0,109005	0,1010817	0,1333333
6,3600001	0,1281793	0,112529	0,1079005	0,1376326
6,4000001	0,1267121	0,1101581	0,1201227	0,112615
6,4400005	0,1161	0,1113206	0,0964979	0,1193108
6,4800005	0,1213333	0,1211578	0,1005641	0,1382155
6,5200005	0,1191667	0,1141422	0,1004975	0,1319126
6,5600004	0,1190377	0,1131096	0,1025974	0,1201222
6,6000004	0,1344275	0,1286225	0,118153	0,1381724
6,6400003	0,1280592	0,1237014	0,1208645	0,1355043
6,6800003	0,1173192	0,116188	0,0982521	0,1262334
6,7200003	0,1234431	0,1296483	0,0999274	0,1308356
6,7600002	0,1191395	0,1103196	0,1129822	0,1542719
6,8000002	0,1156715	0,1219386	0,0970893	0,1420036
6,8400002	0,1160913	0,1040029	0,115099	0,1469819
6,8800001	0,1356703	0,1258015	0,1087369	0,157951
6,9200006	0,1249284	0,1130963	0,1108205	0,1396267
6,9600005	0,1252625	0,1167226	0,1033888	0,1210569
