@TYPE	VH+VL	VH	VL	CD20
@	Y107A	Y107A	Y107A	Y107A
4,4000001	0,1088951	0,1133622	0,0996362	0,1051131
4,4400001	0,1010101	0,0806815	0,1031767	0,1180708
4,48	0,1062456	0,0973332	0,0948095	0,1234336
4,52	0,127488	0,103492	0,1087454	0,1233178
4,5600004	0,1231237	0,1127162	0,1009995	0,1299725
4,6000004	0,1200472	0,1109646	0,1024706	0,1172933
4,6400003	0,1301313	0,1062757	0,1044378	0,1135948
4,6800003	0,1405306	0,1164259	0,1047609	0,1107749
4,7200003	0,1351134	0,1199994	0,1032774	0,1151131
4,7600002	0,1504608	0,1173805	0,130311	0,1134506
4,8000002	0,1525867	0,1417285	0,1095416	0,1017584
4,8400002	0,127664	0,1206659	0,0958075	0,1050999
4,8800001	0,1284686	0,1222918	0,1068236	0,1111952
4,9200001	0,131498	0,1229677	0,094499	0,1095535
4,96	0,1337308	0,1281884	0,1087596	0,127307
5	0,1312502	0,1154963	0,1007864	0,1101827
5,0400004	0,1386307	0,1213073	0,1015409	0,1292958
5,0800004	0,1459388	0,109294	0,1108302	0,1039392
5,1200004	0,1407005	0,120035	0,1037601	0,1055632
5,1600003	0,1318704	0,1105126	0,1080306	0,1202116
5,2000003	0,143666	0,1077426	0,1143687	0,1200489
5,2400002	0,1614493	0,1115244	0,1216518	0,1184262
5,2800002	0,1579714	0,1358473	0,1186848	0,1058569
5,3200002	0,1380733	0,1276951	0,1028584	0,1068719
5,3600001	0,1461451	0,1142588	0,1061899	0,0962985
5,4000001	0,1507656	0,1274478	0,1122453	0,1029072
5,4400001	0,1533715	0,1515425	0,1013643	0,1088541
5,4800005	0,1557661	0,1601931	0,1068367	0,0993304
5,5200005	0,1374395	0,1449914	0,0936201	0,0894085
5,5600004	0,1489701	0,1297537	0,1071769	0,0852411
5,6000004	0,1344839	0,1159905	0,1105942	0,0853623
5,6400003	0,1200366	0,0934089	0,0952574	0,1077603
5,6800003	0,1491978	0,100258	0,1139537	0,0994254
5,7200003	0,1193511	0,0865867	0,0964609	0,1163421
5,7600002	0,1162419	0,092704	0,0979259	0,1085767
5,8000002	0,1235292	0,0967769	0,1012198	0,1031382
5,8400002	0,1353318	0,0941068	0,1126299	0,1067115
5,8800001	0,1303845	0,0875399	0,1075645	0,1045202
5,9200001	0,1338547	0,1062829	0,1106822	0,1002384
5,9600005	0,1418786	0,1037358	0,1141138	0,0915417
6,0000005	0,1272492	0,1097071	0,1003401	0,0968462
6,0400004	0,132037	0,0943349	0,0985656	0,0978699
6,0800004	0,1218432	0,0964183	0,0998298	0,093032
6,1200004	0,1405215	0,1072406	0,1132446	0,0955476
6,1600003	0,1533275	0,0977194	0,1131532	0,1033879
6,2000003	0,1480284	0,0994212	0,1102382	0,1008253
6,2400002	0,1531401	0,0966564	0,1123506	0,1080817
6,2800002	0,1679646	0,1147326	0,1217132	0,1094193
6,3200002	0,1600286	0,101408	0,1270691	0,1027663
6,3600001	0,1472216	0,1032232	0,1032919	0,1094739
6,4000001	0,1520523	0,0947027	0,1199768	0,113019
6,4400005	0,1388344	0,1011017	0,1179072	0,1030541
6,4800005	0,1292765	0,0939444	0,0995876	0,0993992
6,5200005	0,1420164	0,1066819	0,1125533	0,0925
6,5600004	0,1312645	0,1012324	0,1021423	0,0849283
6,6000004	0,1342449	0,0932429	0,1022828	0,1014017
6,6400003	0,1254062	0,1056411	0,0855824	0,0914475
6,6800003	0,129194	0,0938372	0,092594	0,0955807
6,7200003	0,138804	0,1071717	0,107056	0,0908808
6,7600002	0,1157227	0,1011137	0,0936165	0,1004427
6,8000002	0,1219696	0,0956939	0,0929001	0,0821608
6,8400002	0,1322214	0,0915699	0,0964239	0,1031224
6,8800001	0,1158593	0,110317	0,1036149	0,0883791
6,9200006	0,1253699	0,108076	0,095239	0,0950994
6,9600005	0,122014	0,1040107	0,1017207	0,0991278
7,0000005	0,1137877	0,0982987	0,1057097	0,1088652
7,0400004	0,1215809	0,1133191	0,1019604	0,1037157
