@TYPE	VH+VL	VH	VL	CD20	
@	Y105A	Y105A	Y105A	Y105A	
4,2400002	0,1077316	0,1252046	0,0770263	0,1327777	
4,2800002	0,1122621	0,1225709	0,0834469	0,1316413	
4,3200002	0,1253124	0,1512768	0,0743162	0,1243008	
4,3600001	0,1158389	0,1209838	0,1054965	0,1364946	
4,4000001	0,1148602	0,1337467	0,0818673	0,1238921	
4,4400001	0,1165914	0,132211	0,0901792	0,1297842	
4,48	0,1159111	0,1290491	0,0863156	0,1369225	
4,52	0,1071036	0,1174874	0,091632	0,125202	
4,5600004	0,1052071	0,1121727	0,0810246	0,1232246	
4,6000004	0,113779	0,1334986	0,0791654	0,1214026	
4,6400003	0,1350767	0,1555479	0,0940248	0,1285751	
4,6800003	0,1248339	0,1383903	0,0833193	0,1310313	
4,7200003	0,132613	0,1521043	0,09183	0,1416098	
4,7600002	0,1362802	0,1491416	0,1079292	0,1588693	
4,8000002	0,138029	0,1464052	0,108836	0,1346632	
4,8400002	0,1245606	0,1168487	0,1184843	0,1490693	
4,8800001	0,1073778	0,1209413	0,078479	0,130528	
4,9200001	0,1234357	0,1231252	0,1039907	0,1260334	
4,96	0,1119067	0,1079629	0,0965254	0,1424218	
5	0,1037883	0,1077818	0,0914527	0,1314874	
5,0400004	0,1172105	0,1220628	0,0903076	0,1378317	
5,0800004	0,1191392	0,1327109	0,0911605	0,1226864	
5,1200004	0,148328	0,1459113	0,1077233	0,1312077	
5,1600003	0,1319748	0,1462175	0,1026239	0,1373547	
5,2000003	0,1229335	0,1379534	0,0951787	0,1410834	
5,2400002	0,1328144	0,1443357	0,0987313	0,1369218	
5,2800002	0,1295742	0,1434228	0,0987681	0,1425819	
5,3200002	0,1263579	0,1406015	0,0943635	0,1420142	
5,3600001	0,1152737	0,1248835	0,0990731	0,1271535	
5,4000001	0,1154598	0,130797	0,0872485	0,1291361	
5,4400001	0,1130752	0,1222754	0,0814949	0,1302788	
5,4800005	0,1227988	0,1391786	0,0963563	0,14201	
5,5200005	0,1314277	0,1474074	0,1014473	0,1425227	
5,5600004	0,1287665	0,14365	0,0954118	0,1385744	
5,6000004	0,1283117	0,1504066	0,0909508	0,1196044	
5,6400003	0,1246424	0,1372537	0,0985039	0,1342444	
5,6800003	0,1092468	0,1255693	0,0791067	0,1310893	
5,7200003	0,1108766	0,1166773	0,0912687	0,1360361	
5,7600002	0,1182804	0,1394812	0,0831595	0,1293625	
5,8000002	0,1259019	0,1404216	0,0951989	0,1230227	
5,8400002	0,1082353	0,1080385	0,0898812	0,1211994	
5,8800001	0,1051786	0,1010447	0,089435	0,1417461	
5,9200001	0,0976634	0,1005274	0,0850467	0,1309228	
5,9600005	0,1091685	0,1154944	0,090623	0,1225833	
6,0000005	0,117256	0,1203026	0,0970781	0,136416	
6,0400004	0,1185375	0,1201398	0,113701	0,1360649	
6,0800004	0,1289822	0,1238871	0,1103647	0,1377753	
6,1200004	0,1216592	0,130503	0,0997453	0,1286608	
6,1600003	0,1240358	0,1228054	0,115237	0,1431078	
6,2000003	0,1175343	0,1272464	0,0903628	0,1570207	
6,2400002	0,1079978	0,1058976	0,104673	0,1421952	
6,2800002	0,1185597	0,1097103	0,1200967	0,1397655	
6,3200002	0,1256473	0,1159391	0,1126115	0,1446069	
6,3600001	0,1357372	0,1131845	0,1112702	0,1450518	
6,4000001	0,1314869	0,1292038	0,0947044	0,1387857	
6,4400005	0,1114954	0,1218639	0,0883595	0,1451903	
6,4800005	0,1204218	0,1182352	0,1031379	0,1368187	
6,5200005	0,1173345	0,1245642	0,1004992	0,1306727	
6,5600004	0,1074512	0,1103771	0,0962644	0,119052	
6,6000004	0,1203864	0,1143489	0,1053852	0,1162953	
6,6400003	0,1256561	0,1233827	0,1037574	0,1152132	
6,6800003	0,1181657	0,122613	0,1019083	0,1238961	
6,7200003	0,1200299	0,1227484	0,1041447	0,1372886	
6,7600002	0,1237331	0,1188545	0,1071978	0,1315613	
6,8000002	0,1065633	0,1090414	0,0955224	0,120267	
6,8400002	0,1243196	0,1173162	0,117134	0,1247168	
6,8800001	0,1229685	0,1152444	0,1122997	0,1418466	
6,9200006	0,121504	0,1141763	0,1055266	0,1363187	
6,9600005	0,1245902	0,1113242	0,1166152	0,1385535	
7,0000005	0,1155396	0,1099855	0,1037449	0,1280595	
7,0400004	0,1238493	0,1259912	0,1145647	0,1350191	
7,0800004	0,1276735	0,1269803	0,1051203	0,1426349	
7,1200004	0,1113513	0,1077364	0,1075635	0,1433125	
7,1600003	0,1282557	0,1287111	0,0974743	0,1466843	
7,2000003	0,1296265	0,1211662	0,1171777	0,1618495	
7,2400002	0,1272219	0,1157877	0,1152678	0,1522624	
7,2800002	0,1125101	0,1168176	0,1004081	0,1514127	
7,3200002	0,1177435	0,115616	0,0974254	0,1480223	
7,3600001	0,119719	0,1194411	0,0987247	0,1368384	
7,4000006	0,1198371	0,1230763	0,0909879	0,1449489	
7,4400005	0,1109103	0,1154742	0,0885208	0,1442093	
7,4800005	0,125774	0,1158736	0,1104276	0,1543624	
7,5200005	0,1123081	0,1073841	0,1052482	0,1524885	
7,5600004	0,1184461	0,1019543	0,1247194	0,149501	
7,6000004	0,1422779	0,1293219	0,1454944	0,1574764	
7,6400003	0,1441579	0,1232752	0,1448635	0,1479485	
7,6800003	0,140918	0,1194437	0,1364859	0,1339064	
7,7200003	0,1446402	0,1174541	0,1387175	0,1379965	
7,7600002	0,1302038	0,1225328	0,1302303	0,1376338	
7,8000002	0,1301137	0,0994332	0,1179008	0,132942	
7,8400002	0,1335458	0,1228979	0,1339285	0,1282721	
7,8800006	0,1484622	0,1250457	0,1320564	0,1222234	
7,9200006	0,1259956	0,1142674	0,1223171	0,1481057	
7,9600005	0,1533606	0,1161434	0,1461643	0,1319642	
8	0,1318792	0,1190457	0,1229144	0,1277032	
8,04	0,1242283	0,113627	0,1220793	0,1354166	
8,0799999	0,1338342	0,1133789	0,1404514	0,1386293	
8,1200008	0,1243168	0,1161004	0,119046	0,1516357	
8,1600008	0,1397272	0,1397036	0,1221239	0,1376774	
8,2000008	0,1384479	0,1168767	0,1349125	0,1475773	
8,2400007	0,1247775	0,1152298	0,1293755	0,1586149	
8,2800007	0,1456331	0,1182929	0,1487442	0,1500829	
8,3200006	0,128524	0,1053868	0,1440134	0,1498372	
8,3600006	0,1378837	0,1100484	0,1508763	0,1489066	
8,4000006	0,1277495	0,1164494	0,1348378	0,1604565	
8,4400005	0,1360413	0,124532	0,1415518	0,1443211	
8,4800005	0,1298536	0,1153372	0,1394997	0,1636492	
8,5200005	0,1264504	0,1194547	0,1313409	0,1677627	
8,5600004	0,1282501	0,1174995	0,1262601	0,1354948	
8,6000004	0,1242472	0,114831	0,1284509	0,1598973	
8,6400003	0,1260563	0,0994692	0,147548	0,1345501	
8,6800003	0,139148	0,1015884	0,1644192	0,1435289	
8,7200003	0,1185765	0,0998673	0,1219207	0,1339518	
8,7600002	0,1424837	0,1273313	0,1461543	0,1510716	
8,8000002	0,1518246	0,1378367	0,157234	0,1610619	
8,8400002	0,1335498	0,113729	0,1451215	0,1443381	
8,8800001	0,1218773	0,1138582	0,1282635	0,1532483	
8,9200001	0,1496976	0,1418837	0,1418475	0,1299423	
8,96	0,1278037	0,1313949	0,1153417	0,1344523	
9	0,1408257	0,1134973	0,1448704	0,1355702	
9,04	0,135299	0,1093372	0,1303187	0,1364228	
9,0800009	0,1307548	0,1103369	0,1390883	0,1387839	
9,1200008	0,1206838	0,1040366	0,132353	0,1375616	
9,1600008	0,1327872	0,1304992	0,1269003	0,140449	
9,2000008	0,1361828	0,1168426	0,1296971	0,1417404	
9,2400007	0,1348397	0,1211789	0,1394003	0,1431875	
9,2800007	0,1475851	0,1443426	0,1500194	0,1480328	
9,3200006	0,1444351	0,1357868	0,1387399	0,1422614	
9,3600006	0,1480403	0,12512	0,1480951	0,1466951	
9,4000006	0,1367834	0,1167375	0,1439808	0,1431203	
9,4400005	0,1359879	0,1144547	0,1485841	0,1399298	
9,4800005	0,1418291	0,1133717	0,1527691	0,1366384	
9,5200005	0,1264297	0,1128303	0,1375846	0,1658489	
9,5600004	0,1366164	0,1145003	0,1508425	0,1678895	
9,6000004	0,1415471	0,1241298	0,1531418	0,1469094	
9,6400003	0,1412721	0,1408721	0,1321636	0,1522086	
9,6800003	0,1355007	0,1258801	0,1383001	0,1502154	
