@TYPE	VH+VL	VH	VL	CD20
@	nativo	nativo	nativo	nativo
4,4000001	0,205447	0,1751944	0,1994785	0,2315861
4,4400001	0,2015699	0,1730347	0,2084426	0,2022371
4,48	0,1933199	0,162853	0,2060212	0,2018408
4,52	0,194811	0,1768452	0,1834837	0,2078097
4,5600004	0,1949852	0,1767904	0,1897954	0,2054919
4,6000004	0,1955579	0,1649667	0,1819819	0,239815
4,6400003	0,1973471	0,1644706	0,1999594	0,2196859
4,6800003	0,1952586	0,1726333	0,2017289	0,2057492
4,7200003	0,1904252	0,1723334	0,1942301	0,2060521
4,7600002	0,2005098	0,1778518	0,1969392	0,2075176
4,8000002	0,2018042	0,1762498	0,2010874	0,21295
4,8400002	0,198588	0,1780807	0,194906	0,2199579
4,8800001	0,2117316	0,187911	0,2067576	0,2273495
4,9200001	0,2034265	0,1936303	0,1925242	0,2193687
4,96	0,2081375	0,1890704	0,2039867	0,2304749
5	0,1979942	0,179766	0,204875	0,2107429
5,0400004	0,2027895	0,1966246	0,1901833	0,2346747
5,0800004	0,2014866	0,186109	0,19537	0,2231396
5,1200004	0,2123703	0,1993213	0,2062847	0,2361951
5,1600003	0,2037031	0,1724062	0,2204416	0,207983
5,2000003	0,1987895	0,1866214	0,1996702	0,2288217
5,2400002	0,2089655	0,1793189	0,2114913	0,2147164
5,2800002	0,1962032	0,1747748	0,2056006	0,2161404
5,3200002	0,1954002	0,1760213	0,2072466	0,2348589
5,3600001	0,1947777	0,1752684	0,203629	0,2268875
5,4000001	0,1859185	0,1666635	0,1961369	0,2261184
5,4400001	0,1931696	0,1711679	0,2038962	0,225711
5,4800005	0,1976137	0,1812693	0,1991065	0,2166957
5,5200005	0,1954098	0,1765195	0,1970747	0,2194947
5,5600004	0,1786119	0,1575366	0,184391	0,2013099
5,6000004	0,1858386	0,1624712	0,1888946	0,2048965
5,6400003	0,178738	0,1519937	0,1821366	0,2171194
5,6800003	0,189128	0,1642485	0,1897397	0,2158937
5,7200003	0,1962767	0,1716482	0,1981016	0,2139234
5,7600002	0,189965	0,1626154	0,1752172	0,2053601
5,8000002	0,1880703	0,1667755	0,1790546	0,2209044
5,8400002	0,1959746	0,1786285	0,1831561	0,2162208
5,8800001	0,2061224	0,1825211	0,189803	0,203721
5,9200001	0,1963382	0,157755	0,1990149	0,2251124
5,9600005	0,1772912	0,1526859	0,1939738	0,2090792
6,0000005	0,1753063	0,1623581	0,1790923	0,2108454
6,0400004	0,2014622	0,1612404	0,1973223	0,2165276
6,0800004	0,1983738	0,1626212	0,1937414	0,2218241
6,1200004	0,1909032	0,1687959	0,1826862	0,227519
6,1600003	0,2021836	0,1602404	0,194594	0,230483
6,2000003	0,2083816	0,1636084	0,2031634	0,2351983
6,2400002	0,1908792	0,1653466	0,185696	0,2194461
6,2800002	0,1877605	0,1656955	0,1830029	0,219646
6,3200002	0,1947054	0,16229	0,1799197	0,2299934
6,3600001	0,204293	0,1641214	0,1946142	0,2243491
6,4000001	0,1906208	0,1582051	0,1777557	0,2229853
6,4400005	0,1995293	0,153055	0,1879005	0,233966
6,4800005	0,1947383	0,1687257	0,1780916	0,2246532
6,5200005	0,2012221	0,1740858	0,1805621	0,2287614
6,5600004	0,1981653	0,1770161	0,1911571	0,2402814
6,6000004	0,1980213	0,1726573	0,1877024	0,22669
6,6400003	0,1969255	0,170957	0,1767394	0,2336401
6,6800003	0,198092	0,1810475	0,1890722	0,2507795
6,7200003	0,1924652	0,1683079	0,1865846	0,2305474
6,7600002	0,1840597	0,1597314	0,1870101	0,2086367
6,8000002	0,192848	0,1795389	0,1805668	0,2395556
6,8400002	0,1941431	0,1809396	0,1811098	0,2389317
6,8800001	0,2032588	0,1962006	0,189243	0,2418833
6,9200006	0,2049829	0,1960726	0,1855121	0,2417446
6,9600005	0,1953153	0,1835109	0,1814487	0,2390349
7,0000005	0,1838311	0,1701762	0,175277	0,2340338
7,0400004	0,1798445	0,1736852	0,1722863	0,2427081
7,0800004	0,1927532	0,18008	0,1720157	0,216707
7,1200004	0,2052009	0,1879013	0,1839666	0,2256858
7,1600003	0,1906581	0,1859282	0,1657684	0,222182
7,2000003	0,1965739	0,1751211	0,1800811	0,2146629
7,2400002	0,2073019	0,1834823	0,1922014	0,2232528
7,2800002	0,2089853	0,2015592	0,1832777	0,2174155
7,3200002	0,2222163	0,1938944	0,2009479	0,2241188
7,3600001	0,2041569	0,1684978	0,1946483	0,2093655
7,4000006	0,2152324	0,1853944	0,2012126	0,234603
7,4400005	0,2190149	0,1846145	0,2041243	0,2232563
7,4800005	0,2057201	0,1781061	0,1976308	0,2279493
7,5200005	0,2052602	0,18077	0,2020408	0,2338795
7,5600004	0,2052205	0,1661771	0,207771	0,2328061
7,6000004	0,2108423	0,1816475	0,2153404	0,2177543
7,6400003	0,2145546	0,1926588	0,2066879	0,227604
7,6800003	0,2127136	0,1856104	0,2143152	0,2272885
7,7200003	0,2115218	0,185385	0,2192407	0,2286151
7,7600002	0,2056794	0,174002	0,2156716	0,2391187
7,8000002	0,2081126	0,1633074	0,2171173	0,2354064
7,8400002	0,2162406	0,160778	0,2044535	0,232505
7,8800006	0,196324	0,1687782	0,189124	0,2219485
7,9200006	0,1987321	0,1566104	0,1850047	0,2253314
7,9600005	0,222024	0,1692125	0,196664	0,2428628
8	0,2108604	0,1861223	0,1977157	0,2383122
8,04	0,1963296	0,1924254	0,1778715	0,2342331
8,0799999	0,2069012	0,1783007	0,1848696	0,2322476
8,1200008	0,2048553	0,1836162	0,1928005	0,2372426
8,1600008	0,2069054	0,1781569	0,1879341	0,2247555
8,2000008	0,2114684	0,1938356	0,1916029	0,2405233
8,2400007	0,2114574	0,1948502	0,18451	0,2310548
8,2800007	0,2074201	0,1899095	0,1783735	0,2144755
8,3200006	0,2048652	0,1766465	0,18008	0,22015
8,3600006	0,2172855	0,1837829	0,1821395	0,2257805
8,4000006	0,2298922	0,194864	0,1979125	0,2380661
8,4400005	0,2204001	0,1902032	0,1997221	0,232031
8,4800005	0,2165457	0,1897966	0,1908654	0,2275334
8,5200005	0,2110142	0,1935925	0,1901649	0,2330292
8,5600004	0,2206858	0,1954512	0,1975963	0,2095595
8,6000004	0,2115697	0,1822221	0,1971994	0,2226132
8,6400003	0,1976142	0,1800611	0,1913667	0,2255192
8,6800003	0,224425	0,188808	0,1933857	0,2359113
8,7200003	0,2124867	0,1821251	0,1896905	0,2265974
8,7600002	0,2106507	0,1902299	0,1874701	0,2216765
8,8000002	0,2108018	0,1774906	0,1866119	0,2274868
8,8400002	0,1993714	0,1836209	0,1873609	0,2051369
8,8800001	0,208725	0,1803252	0,1860824	0,2060031
8,9200001	0,2174932	0,1928765	0,197632	0,2346761
8,96	0,2189931	0,1945746	0,2050935	0,2370325
9	0,1993896	0,1777228	0,1910921	0,2182379
9,04	0,2245695	0,1938215	0,1871572	0,2208613
9,0800009	0,2325784	0,1924424	0,1892317	0,2248489
9,1200008	0,2240731	0,1850608	0,1844839	0,2213585
9,1600008	0,224411	0,1907734	0,2007059	0,2226046
9,2000008	0,2217209	0,1873229	0,196963	0,2146249
9,2400007	0,2186345	0,19712	0,1844595	0,22163
9,2800007	0,2186585	0,1831317	0,1915449	0,2154975
9,3200006	0,2277147	0,1954183	0,1843769	0,2321249
9,3600006	0,2116884	0,1867046	0,1955839	0,2333828
9,4000006	0,1997903	0,1939957	0,1882585	0,2326503
9,4400005	0,2089642	0,1915996	0,1918701	0,2138554
9,4800005	0,2052002	0,1951003	0,1861989	0,2149959
