@TYPE	VH+VL	VH	VL	CD20
@	Y169A	Y169A	Y169A	Y169A
4,3600001	0,1537486	0,1103933	0,1558062	0,12927
4,4000001	0,1370041	0,0922642	0,1457065	0,1288876
4,4400001	0,1337556	0,1059669	0,1385989	0,1459037
4,48	0,1393043	0,1087083	0,143391	0,1337322
4,52	0,1499755	0,1174314	0,1423509	0,1378293
4,5600004	0,1414693	0,1138407	0,1510631	0,1430124
4,6000004	0,1527493	0,104134	0,1632537	0,1331819
4,6400003	0,1397407	0,0892462	0,1552291	0,1444518
4,6800003	0,1347963	0,09167	0,1354199	0,1358768
4,7200003	0,1340064	0,084565	0,1471887	0,1391283
4,7600002	0,1267731	0,0954085	0,1354164	0,1420733
4,8000002	0,1329167	0,1008298	0,14468	0,1392059
4,8400002	0,1247646	0,0996109	0,1332587	0,1278531
4,8800001	0,1380137	0,0911468	0,1342709	0,1411228
4,9200001	0,1262099	0,0941263	0,1332695	0,1439729
4,96	0,1319775	0,1089352	0,1343057	0,1556544
5	0,1306313	0,1072245	0,1388218	0,1291373
5,0400004	0,1428345	0,0947753	0,1531332	0,1339656
5,0800004	0,1324252	0,1073255	0,1495593	0,1412773
5,1200004	0,1520894	0,0929641	0,1700555	0,121887
5,1600003	0,1439862	0,0860494	0,1648849	0,1367621
5,2000003	0,159923	0,0947671	0,1723551	0,1336601
5,2400002	0,1554392	0,1015831	0,1664195	0,118942
5,2800002	0,152211	0,1068717	0,1734866	0,1387178
5,3200002	0,1543452	0,1273308	0,1588349	0,1286382
5,3600001	0,1714485	0,1188315	0,1846166	0,1514312
5,4000001	0,1589252	0,1175519	0,1832288	0,1308417
5,4400001	0,1577432	0,1114462	0,1785455	0,1305943
5,4800005	0,1706534	0,128308	0,2014705	0,1233778
5,5200005	0,1515613	0,1027353	0,1670433	0,127673
5,5600004	0,1539121	0,1228664	0,161239	0,1364776
5,6000004	0,1442504	0,1113019	0,1667714	0,1288666
5,6400003	0,1470268	0,124428	0,1550064	0,1334898
5,6800003	0,1391339	0,1154997	0,1539427	0,1245008
5,7200003	0,1347612	0,0971323	0,1545514	0,1481869
5,7600002	0,1516385	0,1226193	0,1722854	0,126804
5,8000002	0,1405649	0,1113756	0,1638921	0,1219796
5,8400002	0,1531268	0,1233912	0,1706943	0,1234822
5,8800001	0,1582209	0,1228049	0,1501473	0,1310232
5,9200001	0,1416922	0,1023462	0,1681917	0,1239796
5,9600005	0,1453264	0,1149638	0,1641997	0,1364196
6,0000005	0,1441826	0,1158364	0,1567132	0,1522594
6,0400004	0,1466028	0,1235973	0,1490429	0,1343913
6,0800004	0,1437691	0,124024	0,1489975	0,1357169
6,1200004	0,1374592	0,1023319	0,1467938	0,1383893
6,1600003	0,151371	0,1322833	0,1474531	0,1254846
6,2000003	0,1319476	0,112987	0,1410191	0,1305695
6,2400002	0,1380292	0,1266355	0,1388755	0,128304
6,2800002	0,1218289	0,0924868	0,1374924	0,1339666
6,3200002	0,1088525	0,0925464	0,1163328	0,1224065
6,3600001	0,1409362	0,1182633	0,1391991	0,132032
6,4000001	0,1404573	0,1119784	0,147755	0,1247167
6,4400005	0,1358444	0,106585	0,1342256	0,128136
6,4800005	0,1317668	0,0977412	0,1484363	0,1106662
6,5200005	0,1308521	0,1079568	0,1504607	0,1270807
6,5600004	0,1450106	0,1347551	0,1354913	0,1155983
6,6000004	0,1273668	0,1080763	0,1401981	0,1253738
6,6400003	0,1550502	0,1156492	0,1725613	0,1075326
6,6800003	0,1364119	0,1007048	0,15589	0,1199667
6,7200003	0,1278063	0,0982039	0,1416203	0,1230558
6,7600002	0,1432945	0,1129961	0,1547783	0,1151198
6,8000002	0,1335575	0,1130994	0,1496384	0,1197009
6,8400002	0,1418071	0,0926608	0,1755251	0,1123629
6,8800001	0,137268	0,1105422	0,155622	0,1211424
6,9200006	0,1421773	0,1218566	0,1520109	0,1206521
6,9600005	0,1354578	0,1079447	0,1424733	0,1373787
7,0000005	0,1369713	0,1046585	0,1447653	0,13374
7,0400004	0,1474753	0,1292931	0,1452467	0,1249708
7,0800004	0,1352812	0,115089	0,1374574	0,1347619
7,1200004	0,1307508	0,1043696	0,1524848	0,1395688
7,1600003	0,146446	0,1132544	0,1662349	0,1382297
7,2000003	0,1527383	0,1109639	0,1691831	0,1451015
7,2400002	0,1404471	0,0989862	0,1649995	0,1433793
7,2800002	0,1352177	0,0938423	0,1534901	0,135684
7,3200002	0,1408399	0,0954658	0,1717634	0,1314483
7,3600001	0,1359325	0,0910022	0,1654243	0,1255982
7,4000006	0,127876	0,0843273	0,156275	0,1240351
7,4400005	0,1270632	0,0833403	0,1521822	0,1332146
7,4800005	0,1402234	0,0876671	0,1635055	0,1267443
7,5200005	0,1353882	0,1023276	0,152028	0,1393216
7,5600004	0,1217269	0,0769037	0,1450287	0,1348759
7,6000004	0,1284787	0,0992799	0,1481784	0,1275798
7,6400003	0,1173317	0,0945489	0,1367166	0,1578281
7,6800003	0,1318459	0,1020085	0,1464243	0,1328068
